level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	1	1	20	40	105	26	94	Amazing
5	1	1	1	1	2	140	40	75	26	94	Grace
5	1	1	1	2	1	20	86	75	26	94	Verse
5	1	1	1	2	2	110	86	15	26	94	1
5	1	1	1	3	1	20	132	15	26	94	G
5	1	1	1	3	2	125	132	45	26	94	G/B
5	1	1	1	3	3	230	132	15	26	94	C
5	1	1	1	3	4	440	132	15	26	94	G
5	1	1	1	4	1	20	178	105	26	94	Amazing
5	1	1	1	4	2	140	178	75	26	94	grace
5	1	1	1	4	3	230	178	45	26	94	how
5	1	1	1	4	4	290	178	75	26	94	sweet
5	1	1	1	4	5	380	178	45	26	94	the
5	1	1	1	4	6	440	178	75	26	94	sound
5	1	1	1	5	1	20	224	15	26	94	D
5	1	1	1	5	2	200	224	15	26	94	G
5	1	1	1	6	1	20	270	60	26	94	That
5	1	1	1	6	2	95	270	75	26	94	saved
5	1	1	1	6	3	185	270	15	26	94	a
5	1	1	1	6	4	215	270	90	26	94	wretch
5	1	1	1	6	5	320	270	60	26	94	like
5	1	1	1	6	6	395	270	30	26	94	me
