level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	1	1	20	40	45	26	94	How
5	1	1	1	1	2	80	40	75	26	94	Great
5	1	1	1	1	3	170	40	60	26	94	Thou
5	1	1	1	1	4	245	40	45	26	94	Art
5	1	1	1	2	1	20	86	75	26	94	Verse
5	1	1	1	2	2	110	86	15	26	94	1
5	1	1	1	3	1	20	132	15	26	71	D
5	1	1	1	3	2	155	132	45	26	38	D5o
5	1	1	1	3	3	290	132	15	26	66	D
5	1	1	1	4	1	20	178	15	26	94	O
5	1	1	1	4	2	50	178	60	26	94	Lord
5	1	1	1	4	3	125	178	30	26	94	my
5	1	1	1	4	4	170	178	45	26	94	God
5	1	1	1	4	5	230	178	60	26	94	when
5	1	1	1	4	6	305	178	30	26	94	in
5	1	1	1	4	7	350	178	105	26	94	awesome
5	1	1	1	4	8	470	178	90	26	94	wonder
5	1	1	1	5	1	20	224	15	26	63	A
5	1	1	1	5	2	208	224	30	26	41	Eb
5	1	1	1	6	1	20	270	120	26	94	Consider
5	1	1	1	6	2	155	270	45	26	94	all
5	1	1	1	6	3	215	270	45	26	94	the
5	1	1	1	6	4	275	270	90	26	94	worlds
5	1	1	1	6	5	470	270	75	26	94	hands
5	1	1	1	6	6	560	270	60	26	94	have
5	1	1	1	6	7	635	270	60	26	94	made
