level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	1	1	20	40	60	26	94	Holy
5	1	1	1	1	2	95	40	60	26	94	Holy
5	1	1	1	1	3	170	40	60	26	94	Holy
5	1	1	1	2	1	20	86	75	26	94	Intro
5	1	1	1	3	1	20	132	15	26	94	|
5	1	1	1	3	2	50	132	15	26	94	G
5	1	1	1	3	3	80	132	15	26	94	|
5	1	1	1	3	4	110	132	15	26	94	C
5	1	1	1	3	5	140	132	15	26	94	|
5	1	1	1	3	6	170	132	15	26	94	G
5	1	1	1	3	7	200	132	15	26	94	|
5	1	1	1	3	8	230	132	15	26	94	D
5	1	1	1	3	9	260	132	15	26	94	|
5	1	1	1	4	1	20	178	75	26	94	Verse
5	1	1	1	5	1	20	224	15	26	94	D
5	1	1	1	5	2	200	224	15	26	94	A
5	1	1	1	6	1	13	270	30	26	94	Bm
5	1	1	1	6	2	140	270	15	26	94	G
5	1	1	1	7	1	20	316	60	26	94	Holy
5	1	1	1	7	2	95	316	60	26	94	holy
5	1	1	1	7	3	170	316	60	26	94	holy
5	1	1	1	7	4	245	316	60	26	94	Lord
5	1	1	1	7	5	320	316	45	26	94	God
5	1	1	1	7	6	380	316	120	26	94	almighty
