level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	1	1	20	40	60	26	94	Come
5	1	1	1	1	2	95	40	60	26	94	Thou
5	1	1	1	1	3	170	40	75	26	94	Fount
5	1	1	1	2	1	20	86	75	26	94	Verse
5	1	1	1	2	2	110	86	15	26	94	1
5	1	1	1	3	1	13	132	30	26	94	Em
5	1	1	1	3	2	200	132	15	26	94	C
5	1	1	1	4	1	20	178	60	26	94	Come
5	1	1	1	4	2	95	178	60	26	94	thou
5	1	1	1	4	3	170	178	75	26	94	fount
5	1	1	1	4	4	260	178	30	26	94	of
5	1	1	1	4	5	305	178	75	26	94	every
5	1	1	1	4	6	395	178	120	26	94	blessing
5	1	1	1	5	1	20	224	15	26	94	G
5	1	1	1	5	2	230	224	15	26	94	D
5	1	1	1	6	1	20	270	60	26	94	Tune
5	1	1	1	6	2	95	270	30	26	94	my
5	1	1	1	6	3	140	270	75	26	94	heart
5	1	1	1	6	4	230	270	30	26	94	to
5	1	1	1	6	5	275	270	60	26	94	sing
5	1	1	1	6	6	350	270	45	26	94	thy
5	1	1	1	6	7	410	270	75	26	94	grace
