level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1057	1422	-1	
2	1	1	0	0	0	41	40	181	24	-1	
3	1	1	1	0	0	41	40	181	24	-1	
4	1	1	1	1	0	41	40	181	24	-1	
5	1	1	1	1	1	41	41	103	23	96.410751	Amazing
5	1	1	1	1	2	153	40	69	20	96.298424	Grace
2	1	2	0	0	0	41	71	713	158	-1	
3	1	2	1	0	0	41	71	125	86	-1	
4	1	2	1	1	0	41	71	125	18	-1	
5	1	2	1	1	1	41	71	125	18	96.569977	Traditional
4	1	2	1	2	0	49	139	73	18	-1	
5	1	2	1	2	1	49	139	73	18	96.369293	Chords
3	1	2	2	0	0	50	182	704	47	-1	
4	1	2	2	1	0	216	182	524	31	-1	
5	1	2	2	1	1	216	182	37	31	96.830154	132
5	1	2	2	1	2	427	186	22	17	46.543236	21
5	1	2	2	1	3	491	186	12	18	73.613228	3
5	1	2	2	1	4	704	186	36	17	95.821526	12
4	1	2	2	2	0	50	211	704	18	-1	
5	1	2	2	2	1	50	211	15	18	69.908249	D
5	1	2	2	2	2	181	211	73	18	17.672958	xx0232.
5	1	2	2	2	3	294	211	15	18	16.874474	 G
5	1	2	2	2	4	425	211	76	18	47.585716	320003
5	1	2	2	2	5	536	211	27	17	47.585716	A7
5	1	2	2	2	6	680	211	74	18	92.786865	x02020
2	1	3	0	0	0	54	286	156	49	-1	
3	1	3	1	0	0	54	286	156	49	-1	
4	1	3	1	1	0	54	286	154	20	-1	
5	1	3	1	1	1	54	286	66	20	96.634727	Strum
5	1	3	1	1	2	130	287	78	19	96.372963	Pattern
4	1	3	1	2	0	55	316	155	19	-1	
5	1	3	1	2	1	55	316	15	18	78.611488	B
5	1	3	1	2	2	113	316	97	19	78.611488	dudu
2	1	4	0	0	0	56	346	152	19	-1	
3	1	4	1	0	0	56	346	152	19	-1	
4	1	4	1	1	0	56	346	152	19	-1	
5	1	4	1	1	1	56	346	152	19	61.666725	1+2+3+4+
2	1	5	0	0	0	37	266	229	132	-1	
3	1	5	1	0	0	37	266	229	132	-1	
4	1	5	1	1	0	37	266	229	132	-1	
5	1	5	1	1	1	37	266	229	132	95.000000	 
2	1	6	0	0	0	41	425	420	224	-1	
3	1	6	1	0	0	41	425	420	81	-1	
4	1	6	1	1	0	63	425	355	23	-1	
5	1	6	1	1	1	63	425	16	18	93.027214	D
5	1	6	1	1	2	88	425	28	23	96.495628	(2)
5	1	6	1	1	3	285	425	17	18	92.877968	G
5	1	6	1	1	4	402	425	16	18	87.475784	D
4	1	6	1	2	0	41	453	420	24	-1	
5	1	6	1	2	1	41	454	96	23	96.821289	Amazing
5	1	6	1	2	2	146	453	72	21	96.492500	Grace,
5	1	6	1	2	3	228	454	44	18	96.616760	how
5	1	6	1	2	4	281	455	64	17	96.545631	sweet
5	1	6	1	2	5	353	454	33	18	96.545631	the
5	1	6	1	2	6	395	454	66	18	96.504150	sound
4	1	6	1	3	0	105	483	282	23	-1	
5	1	6	1	3	1	105	483	15	18	93.244743	D
5	1	6	1	3	2	130	483	28	23	96.702415	(2)
5	1	6	1	3	3	319	483	31	18	94.047150	AT
5	1	6	1	3	4	358	483	29	23	94.047150	(2)
3	1	6	2	0	0	41	512	375	137	-1	
4	1	6	2	1	0	42	512	309	19	-1	
5	1	6	2	1	1	42	512	49	19	96.846268	That
5	1	6	2	1	2	99	512	64	19	96.490707	saved
5	1	6	2	1	3	172	517	12	14	96.100967	a
5	1	6	2	1	4	193	512	71	18	96.100967	wretch
5	1	6	2	1	5	274	512	36	18	96.531982	like
5	1	6	2	1	6	319	516	32	15	96.751923	me
4	1	6	2	2	0	63	540	313	24	-1	
5	1	6	2	2	1	63	541	16	18	93.115929	D
5	1	6	2	2	2	88	541	28	23	95.808456	(2)
5	1	6	2	2	3	264	540	18	20	92.222473	G
5	1	6	2	2	4	360	541	16	18	82.864014	D
4	1	6	2	3	0	43	571	373	21	-1	
5	1	6	2	3	1	43	571	3	18	85.111862	|
5	1	6	2	3	2	55	576	53	14	94.229515	once
5	1	6	2	3	3	117	576	43	14	96.929871	was
5	1	6	2	3	4	168	571	43	21	96.929871	lost,
5	1	6	2	3	5	221	571	34	18	96.697968	but
5	1	6	2	3	6	263	576	44	14	96.799629	now
5	1	6	2	3	7	317	571	30	18	91.042206	I'm
5	1	6	2	3	8	355	571	61	19	95.065681	found
4	1	6	2	4	0	98	600	235	24	-1	
5	1	6	2	4	1	98	600	16	18	84.007195	D
5	1	6	2	4	2	212	600	31	18	25.895134	A7
5	1	6	2	4	3	280	600	53	24	55.059376	D(2)
4	1	6	2	5	0	41	629	271	20	-1	
5	1	6	2	5	1	41	629	48	19	95.334221	Was
5	1	6	2	5	2	98	629	57	20	95.845940	blind,
5	1	6	2	5	3	165	629	33	19	96.967720	but
5	1	6	2	5	4	206	634	45	14	96.424957	now
5	1	6	2	5	5	260	629	3	18	94.525742	|
5	1	6	2	5	6	273	633	39	14	96.784668	see
2	1	7	0	0	0	41	687	435	223	-1	
3	1	7	1	0	0	112	687	341	23	-1	
4	1	7	1	1	0	112	687	341	23	-1	
5	1	7	1	1	1	112	687	15	18	93.223198	D
5	1	7	1	1	2	136	687	29	23	96.736809	(2)
5	1	7	1	1	3	347	687	18	18	92.269997	G
5	1	7	1	1	4	437	687	16	18	84.938759	D
3	1	7	2	0	0	42	716	434	24	-1	
4	1	7	2	1	0	42	716	434	24	-1	
5	1	7	2	1	1	42	716	56	19	96.515297	Twas
5	1	7	2	1	2	107	720	61	19	96.515297	grace
5	1	7	2	1	3	176	716	41	18	96.797401	that
5	1	7	2	1	4	225	716	68	24	96.600281	taught
5	1	7	2	1	5	302	721	31	18	96.776993	my
5	1	7	2	1	6	342	716	56	19	96.776993	heart
5	1	7	2	1	7	406	717	19	18	96.632660	to
5	1	7	2	1	8	433	716	43	19	96.810188	fear
3	1	7	3	0	0	42	746	314	52	-1	
4	1	7	3	1	0	98	746	254	23	-1	
5	1	7	3	1	1	98	746	16	18	93.189117	D
5	1	7	3	1	2	123	746	28	23	96.651421	(2)
5	1	7	3	1	3	284	746	31	18	63.953831	AT
5	1	7	3	1	4	324	746	28	23	94.653046	(2)
4	1	7	3	2	0	42	774	314	24	-1	
5	1	7	3	2	1	42	775	39	19	96.841515	and
5	1	7	3	2	2	90	780	61	18	96.392723	grace
5	1	7	3	2	3	160	779	32	19	96.821259	my
5	1	7	3	2	4	200	774	54	19	96.936172	fears
5	1	7	3	2	5	263	775	93	18	96.588150	released
3	1	7	4	0	0	43	804	393	53	-1	
4	1	7	4	1	0	105	804	299	23	-1	
5	1	7	4	1	1	105	804	15	18	93.236824	D
5	1	7	4	1	2	130	804	28	23	95.988014	(2)
5	1	7	4	1	3	292	804	17	19	92.366737	G
5	1	7	4	1	4	388	804	16	18	88.375801	D
4	1	7	4	2	0	43	833	393	24	-1	
5	1	7	4	2	1	43	833	47	19	95.725380	How
5	1	7	4	2	2	99	833	92	23	96.366814	precious
5	1	7	4	2	3	200	833	31	18	96.827950	did
5	1	7	4	2	4	240	833	41	18	96.529800	that
5	1	7	4	2	5	289	837	61	20	96.529800	grace
5	1	7	4	2	6	358	837	78	19	96.119865	appear
3	1	7	5	0	0	84	862	200	23	-1	
4	1	7	5	1	0	84	862	200	23	-1	
5	1	7	5	1	1	84	862	16	18	86.799812	D
5	1	7	5	1	2	157	862	30	18	5.252953	A7
5	1	7	5	1	3	231	862	53	23	5.252953	 D(2)
3	1	7	6	0	0	41	890	251	20	-1	
4	1	7	6	1	0	41	890	251	20	-1	
5	1	7	6	1	1	41	891	34	19	96.810966	the
5	1	7	6	1	2	84	891	49	19	96.478958	hour
5	1	7	6	1	3	133	886	9	33	95.123756	|
5	1	7	6	1	4	154	890	39	19	96.086296	first
5	1	7	6	1	5	202	891	90	19	96.024796	believed
2	1	8	0	0	0	41	949	481	403	-1	
3	1	8	1	0	0	41	949	481	403	-1	
4	1	8	1	1	0	146	949	293	24	-1	
5	1	8	1	1	1	146	950	16	18	93.177475	D
5	1	8	1	1	2	171	950	28	23	96.109947	(2)
5	1	8	1	1	3	320	949	17	20	92.543411	G
5	1	8	1	1	4	423	950	16	18	89.193733	D
4	1	8	1	2	0	42	979	446	24	-1	
5	1	8	1	2	1	42	979	90	23	96.759094	Through
5	1	8	1	2	2	142	984	59	18	96.582100	many
5	1	8	1	2	3	210	979	94	24	96.069740	dangers,
5	1	8	1	2	4	314	979	43	19	96.889755	toils
5	1	8	1	2	5	366	979	39	19	96.560303	and
5	1	8	1	2	6	414	983	74	15	96.428833	snares
4	1	8	1	3	0	56	1008	220	24	-1	
5	1	8	1	3	1	56	1008	16	18	93.174286	D
5	1	8	1	3	2	81	1008	28	23	94.121429	(2)
5	1	8	1	3	3	208	1008	30	18	58.283062	AT
5	1	8	1	3	4	248	1008	28	24	96.109795	(2)
4	1	8	1	4	0	43	1037	222	23	-1	
5	1	8	1	4	1	43	1037	3	18	83.342590	|
5	1	8	1	4	2	56	1037	52	19	93.003426	have
5	1	8	1	4	3	117	1037	80	23	96.731361	already
5	1	8	1	4	4	205	1041	60	15	96.946373	come
4	1	8	1	5	0	91	1065	382	24	-1	
5	1	8	1	5	1	91	1066	15	18	78.523293	D
5	1	8	1	5	2	116	1066	28	23	78.523293	(2)
5	1	8	1	5	3	347	1065	18	20	91.344955	G
5	1	8	1	5	4	458	1066	15	18	88.755157	D
4	1	8	1	6	0	42	1096	438	24	-1	
5	1	8	1	6	1	42	1096	35	19	85.587570	‘Tis
5	1	8	1	6	2	86	1096	66	19	96.568985	Grace
5	1	8	1	6	3	161	1096	40	19	96.731880	that
5	1	8	1	6	4	210	1096	83	24	96.902809	brought
5	1	8	1	6	5	302	1100	32	15	96.527466	me
5	1	8	1	6	6	343	1096	46	19	96.466507	safe
5	1	8	1	6	7	397	1096	46	19	96.466507	thus
5	1	8	1	6	8	451	1096	29	19	96.901558	far
4	1	8	1	7	0	98	1125	256	23	-1	
5	1	8	1	7	1	98	1125	16	18	87.343399	D
5	1	8	1	7	2	212	1125	31	18	30.954338	AT
5	1	8	1	7	3	301	1125	15	18	93.222107	D
5	1	8	1	7	4	325	1125	29	23	96.861679	(2)
4	1	8	1	8	0	42	1154	322	19	-1	
5	1	8	1	8	1	42	1154	39	19	96.361938	and
5	1	8	1	8	2	91	1154	66	19	96.361938	Grace
5	1	8	1	8	3	165	1154	33	18	96.560188	will
5	1	8	1	8	4	208	1154	44	18	96.706390	lead
5	1	8	1	8	5	262	1159	32	14	96.706390	me
5	1	8	1	8	6	303	1154	61	19	96.979042	home
4	1	8	1	9	0	112	1211	375	25	-1	
5	1	8	1	9	1	112	1212	15	18	93.238632	D
5	1	8	1	9	2	136	1212	29	24	96.759483	(2)
5	1	8	1	9	3	354	1211	18	20	90.744263	G
5	1	8	1	9	4	471	1212	16	19	89.430969	D
4	1	8	1	10	0	41	1241	481	23	-1	
5	1	8	1	10	1	41	1241	64	19	96.831558	When
5	1	8	1	10	2	113	1241	62	18	96.651886	we've
5	1	8	1	10	3	184	1241	54	19	96.458145	been
5	1	8	1	10	4	246	1241	56	19	96.138084	there
5	1	8	1	10	5	310	1242	33	18	96.641975	ten
5	1	8	1	10	6	352	1241	101	19	96.290184	thousand
5	1	8	1	10	7	462	1245	60	19	96.849396	years
4	1	8	1	11	0	112	1271	233	23	-1	
5	1	8	1	11	1	112	1271	15	18	93.215057	D
5	1	8	1	11	2	136	1271	29	23	96.773415	(2)
5	1	8	1	11	3	277	1271	31	18	66.964539	AT
5	1	8	1	11	4	317	1271	28	23	96.003021	(2)
4	1	8	1	12	0	42	1300	275	23	-1	
5	1	8	1	12	1	42	1300	61	23	96.955818	bright
5	1	8	1	12	2	111	1300	77	23	96.623718	shining
5	1	8	1	12	3	197	1304	25	14	96.824211	as
5	1	8	1	12	4	231	1300	33	19	96.393745	the
5	1	8	1	12	5	272	1305	45	15	96.393745	sun,
4	1	8	1	13	0	112	1329	313	23	-1	
5	1	8	1	13	1	112	1329	15	18	93.170677	D
5	1	8	1	13	2	136	1329	29	23	96.830528	(2)
5	1	8	1	13	3	292	1329	17	19	92.586838	G
5	1	8	1	13	4	409	1329	16	18	87.710220	D
2	1	9	0	0	0	41	1358	430	24	-1	
3	1	9	1	0	0	41	1358	430	24	-1	
4	1	9	1	1	0	41	1358	430	24	-1	
5	1	9	1	1	1	41	1358	62	19	96.713699	we've
5	1	9	1	1	2	112	1363	26	13	96.133949	no
5	1	9	1	1	3	147	1358	42	19	96.697441	less
5	1	9	1	1	4	198	1358	51	23	96.705559	days
5	1	9	1	1	5	257	1359	20	18	96.971878	to
5	1	9	1	1	6	286	1358	43	24	97.014748	sing
5	1	9	1	1	7	338	1358	58	24	96.780388	god's
5	1	9	1	1	8	405	1358	66	23	96.613487	praise
