level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1057	1409	-1	
2	1	1	0	0	0	43	41	244	23	-1	
3	1	1	1	0	0	43	41	244	23	-1	
4	1	1	1	1	0	43	41	244	23	-1	
5	1	1	1	1	1	43	41	68	18	96.358406	Home
5	1	1	1	1	2	120	41	31	18	96.163040	On
5	1	1	1	1	3	160	41	44	18	95.982224	The
5	1	1	1	1	4	213	41	74	23	96.233627	Range
2	1	2	0	0	0	41	178	974	1	-1	
3	1	2	1	0	0	41	178	974	1	-1	
4	1	2	1	1	0	41	178	974	1	-1	
5	1	2	1	1	1	41	178	974	1	95.000000	 
2	1	3	0	0	0	41	72	963	170	-1	
3	1	3	1	0	0	41	72	123	92	-1	
4	1	3	1	1	0	41	72	123	18	-1	
5	1	3	1	1	1	41	72	123	18	96.919846	Traditional
4	1	3	1	2	0	50	144	85	20	-1	
5	1	3	1	2	1	50	144	85	20	96.953705	Chords
3	1	3	2	0	0	51	193	953	49	-1	
4	1	3	2	1	0	232	193	757	18	-1	
5	1	3	2	1	1	232	193	39	18	96.739899	132
5	1	3	2	1	2	432	193	24	18	56.323132	2a
5	1	3	2	1	3	502	193	13	18	56.323132	3
5	1	3	2	1	4	690	193	37	18	93.486351	21
5	1	3	2	1	5	949	193	40	18	96.600395	13
4	1	3	2	2	0	51	224	953	18	-1	
5	1	3	2	2	1	51	224	16	18	92.266197	D
5	1	3	2	2	2	193	224	80	18	90.344284	xx0232
5	1	3	2	2	3	279	219	12	33	83.537514	|
5	1	3	2	2	4	294	224	17	18	83.537514	G
5	1	3	2	2	5	431	224	81	18	60.234428	320003
5	1	3	2	2	6	538	224	28	18	60.234428	E7
5	1	3	2	2	7	679	224	81	18	88.751656	020100
5	1	3	2	2	8	780	224	31	18	87.767197	A7
5	1	3	2	2	9	923	224	81	18	91.841904	x02020
2	1	4	0	0	0	40	283	300	2	-1	
3	1	4	1	0	0	40	283	300	2	-1	
4	1	4	1	1	0	40	283	300	2	-1	
5	1	4	1	1	1	40	283	300	2	95.000000	 
2	1	5	0	0	0	54	299	189	76	-1	
3	1	5	1	0	0	54	299	189	76	-1	
4	1	5	1	1	0	54	299	154	18	-1	
5	1	5	1	1	1	54	299	66	18	96.704720	Strum
5	1	5	1	1	2	130	299	78	18	96.487457	Pattern
4	1	5	1	2	0	55	328	183	18	-1	
5	1	5	1	2	1	55	328	15	18	90.563576	B
5	1	5	1	2	2	120	328	118	18	73.044350	dudu
4	1	5	1	3	0	56	357	187	18	-1	
5	1	5	1	3	1	56	357	117	18	56.619488	1+2+
5	1	5	1	3	2	195	357	12	18	92.055267	3
5	1	5	1	3	3	230	362	13	13	84.127258	4+
2	1	6	0	0	0	40	391	300	2	-1	
3	1	6	1	0	0	40	391	300	2	-1	
4	1	6	1	1	0	40	391	300	2	-1	
5	1	6	1	1	1	40	391	300	2	95.000000	 
2	1	7	0	0	0	41	453	530	251	-1	
3	1	7	1	0	0	88	453	378	25	-1	
4	1	7	1	1	0	88	453	378	25	-1	
5	1	7	1	1	1	84	449	12	35	93.286995	D
5	1	7	1	1	2	115	453	28	25	96.564041	(2)
5	1	7	1	1	3	409	453	18	20	93.275543	G
5	1	7	1	1	4	438	453	28	25	96.279770	(2)
3	1	7	2	0	0	42	484	529	188	-1	
4	1	7	2	1	0	42	484	519	26	-1	
5	1	7	2	1	1	42	484	33	20	94.626305	Oh
5	1	7	2	1	2	85	485	48	25	96.406357	give
5	1	7	2	1	3	143	490	35	14	95.761627	me
5	1	7	2	1	4	187	490	14	14	92.603516	a
5	1	7	2	1	5	210	485	66	19	92.603516	home
5	1	7	2	1	6	285	485	72	19	96.900917	where
5	1	7	2	1	7	365	485	37	19	96.289787	the
5	1	7	2	1	8	413	484	80	20	96.289787	buffalo
5	1	7	2	1	9	503	490	58	14	96.379379	roam
4	1	7	2	2	0	178	519	302	19	-1	
5	1	7	2	2	1	178	519	17	19	91.304649	D
5	1	7	2	2	2	341	519	30	19	91.611153	E7
5	1	7	2	2	3	448	519	32	19	87.579750	A7
4	1	7	2	3	0	42	550	452	25	-1	
5	1	7	2	3	1	42	550	76	19	95.924927	Where
5	1	7	2	3	2	126	550	38	19	95.924927	the
5	1	7	2	3	3	173	550	53	19	96.018387	deer
5	1	7	2	3	4	234	550	43	19	96.321388	and
5	1	7	2	3	5	287	550	37	19	96.424934	the
5	1	7	2	3	6	333	550	104	24	96.726418	antelope
5	1	7	2	3	7	447	550	47	25	96.726418	play
4	1	7	2	4	0	133	582	310	25	-1	
5	1	7	2	4	1	133	583	17	19	93.180634	D
