level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	873	1136	-1	
2	1	1	0	0	0	68	57	192	38	-1	
3	1	1	1	0	0	68	57	192	38	-1	
4	1	1	1	1	0	69	57	191	18	-1	
5	1	1	1	1	1	69	57	53	14	96.712074	Home
5	1	1	1	1	2	129	57	25	14	95.452301	On
5	1	1	1	1	3	161	57	33	14	95.452301	The
5	1	1	1	1	4	202	57	58	18	95.882889	Range
4	1	1	1	2	0	68	81	96	14	-1	
5	1	1	1	2	1	68	81	96	14	96.062714	Traditional
2	1	2	0	0	0	61	131	246	207	-1	
3	1	2	1	0	0	61	131	246	207	-1	
4	1	2	1	1	0	61	131	246	207	-1	
5	1	2	1	1	1	61	131	246	207	95.000000	 
2	1	3	0	0	0	68	174	413	375	-1	
3	1	3	1	0	0	68	174	413	375	-1	
4	1	3	1	1	0	372	174	67	18	-1	
5	1	3	1	1	1	372	174	21	18	34.554153	mm
5	1	3	1	1	2	425	174	14	17	63.061150	3
4	1	3	1	2	0	370	198	67	18	-1	
5	1	3	1	2	1	370	198	67	18	0.000000	20003
4	1	3	1	3	0	104	378	295	20	-1	
5	1	3	1	3	1	104	379	14	15	39.982834	D
5	1	3	1	3	2	126	379	22	19	39.982834	(2)
5	1	3	1	3	3	355	378	14	16	92.739830	G
5	1	3	1	3	4	377	378	22	20	96.413147	(2)
4	1	3	1	4	0	69	403	404	20	-1	
5	1	3	1	4	1	69	403	25	15	96.680237	Oh
5	1	3	1	4	2	102	407	38	16	96.409874	give
5	1	3	1	4	3	147	407	28	11	96.492485	me
5	1	3	1	4	4	182	407	10	11	94.561966	a
5	1	3	1	4	5	200	403	51	15	94.561966	home
5	1	3	1	4	6	258	403	56	15	96.033089	where
5	1	3	1	4	7	321	403	28	15	96.033089	the
5	1	3	1	4	8	357	403	63	15	96.779167	buffalo
5	1	3	1	4	9	428	407	45	11	96.767990	roam
4	1	3	1	5	0	175	429	235	16	-1	
5	1	3	1	5	1	175	430	13	15	87.454536	D
5	1	3	1	5	2	302	429	23	16	79.238831	E7
5	1	3	1	5	3	385	429	25	16	77.897606	A7
4	1	3	1	6	0	68	454	353	19	-1	
5	1	3	1	6	1	68	454	60	15	96.314178	Where
5	1	3	1	6	2	135	454	28	15	96.314178	the
5	1	3	1	6	3	171	454	41	15	96.914993	deer
5	1	3	1	6	4	219	454	33	15	96.812981	and
5	1	3	1	6	5	258	454	30	15	91.875061	the
5	1	3	1	6	6	296	454	80	19	96.450996	antelope
5	1	3	1	6	7	384	454	37	19	96.450996	play
4	1	3	1	7	0	140	479	241	19	-1	
5	1	3	1	7	1	140	479	13	16	46.442368	D
5	1	3	1	7	2	161	479	22	19	46.442368	(2)
5	1	3	1	7	3	338	479	13	16	92.960648	G
5	1	3	1	7	4	360	479	21	19	96.604645	(2)
4	1	3	1	8	0	68	504	413	20	-1	
5	1	3	1	8	1	68	504	60	16	96.158447	Where
5	1	3	1	8	2	135	505	67	15	96.847435	seldom
5	1	3	1	8	3	211	508	13	12	96.847435	is
5	1	3	1	8	4	232	505	51	15	96.966278	heard
5	1	3	1	8	5	291	508	10	12	96.966278	a
5	1	3	1	8	6	308	505	120	19	96.725456	discouraging
5	1	3	1	8	7	436	505	45	15	96.711227	word
4	1	3	1	9	0	151	530	267	19	-1	
5	1	3	1	9	1	151	530	14	15	92.741493	D
5	1	3	1	9	2	278	530	24	15	75.062431	AT
5	1	3	1	9	3	375	530	13	15	47.231949	D
5	1	3	1	9	4	396	530	22	19	47.231949	(2)
2	1	4	0	0	0	68	554	334	20	-1	
3	1	4	1	0	0	68	554	334	20	-1	
4	1	4	1	1	0	68	554	334	20	-1	
5	1	4	1	1	1	68	554	36	15	96.961571	And
5	1	4	1	1	2	112	555	29	15	96.875961	the
5	1	4	1	1	3	148	555	47	15	96.625931	skies
5	1	4	1	1	4	202	558	28	12	96.972748	are
5	1	4	1	1	5	238	556	28	13	96.761536	not
5	1	4	1	1	6	274	555	61	19	96.842743	cloudy
5	1	4	1	1	7	342	555	19	14	96.144539	all
5	1	4	1	1	8	369	555	33	19	96.547859	day
2	1	5	0	0	0	78	616	372	120	-1	
3	1	5	1	0	0	78	616	372	120	-1	
4	1	5	1	1	0	79	616	71	15	-1	
5	1	5	1	1	1	79	616	71	15	96.790680	Chorus
4	1	5	1	2	0	79	642	232	19	-1	
5	1	5	1	2	1	79	643	13	15	88.360451	D
5	1	5	1	2	2	146	643	25	15	62.287373	AT
5	1	5	1	2	3	264	638	10	29	93.068604	D
5	1	5	1	2	4	289	642	22	19	95.891754	(2)
4	1	5	1	3	0	79	667	239	19	-1	
5	1	5	1	3	1	79	667	55	15	96.622627	Home
5	1	5	1	3	2	142	667	51	15	96.225616	home
5	1	5	1	3	3	200	671	22	11	96.225616	on
5	1	5	1	3	4	229	667	29	15	96.265045	the
5	1	5	1	3	5	266	671	52	15	95.854553	range
4	1	5	1	4	0	185	692	265	19	-1	
5	1	5	1	4	1	185	692	13	15	87.286270	D
5	1	5	1	4	2	306	692	23	15	64.147110	E7
5	1	5	1	4	3	395	692	25	15	53.995651	AT
5	1	5	1	4	4	428	692	22	19	95.534233	(2)
4	1	5	1	5	0	78	717	353	19	-1	
5	1	5	1	5	1	78	717	59	15	96.697678	Where
5	1	5	1	5	2	145	717	28	15	96.098274	the
5	1	5	1	5	3	180	717	42	15	96.869072	deer
5	1	5	1	5	4	229	717	33	15	96.589569	and
5	1	5	1	5	5	270	717	28	15	96.571854	the
5	1	5	1	5	6	306	717	80	18	96.414749	antelope
5	1	5	1	5	7	394	717	37	19	95.930809	play
2	1	6	0	0	0	78	743	413	94	-1	
3	1	6	1	0	0	149	743	242	19	-1	
4	1	6	1	1	0	149	743	242	19	-1	
5	1	6	1	1	1	149	743	44	19	86.947479	D(2)
5	1	6	1	1	2	347	743	14	15	93.150841	G
5	1	6	1	1	3	369	743	22	19	96.842949	(2)
3	1	6	2	0	0	78	767	413	45	-1	
4	1	6	2	1	0	78	767	413	20	-1	
5	1	6	2	1	1	78	767	59	16	96.361336	Where
5	1	6	2	1	2	145	768	67	15	96.340553	seldom
5	1	6	2	1	3	221	771	13	12	96.847931	is
5	1	6	2	1	4	242	768	51	14	96.995697	heard
5	1	6	2	1	5	301	771	9	11	96.992149	a
5	1	6	2	1	6	318	768	120	19	96.539673	discouraging
5	1	6	2	1	7	446	767	45	15	96.609062	word
4	1	6	2	2	0	161	793	267	19	-1	
5	1	6	2	2	1	161	793	14	15	92.816757	D
5	1	6	2	2	2	287	793	25	15	49.928936	AT
5	1	6	2	2	3	385	793	13	15	57.185562	D
5	1	6	2	2	4	406	793	22	19	57.185562	(2)
3	1	6	3	0	0	78	818	334	19	-1	
4	1	6	3	1	0	78	818	334	19	-1	
5	1	6	3	1	1	78	818	36	15	96.084831	And
